Region,Code,Crime_name,Year,Value
Isole,DRUG,normativa sugli stupefacenti,2013,3293
Isole,DRUG,normativa sugli stupefacenti,2014,3279
Isole,DRUG,normativa sugli stupefacenti,2015,3134
Isole,DRUG,normativa sugli stupefacenti,2016,3744
Isole,DRUG,normativa sugli stupefacenti,2017,4362
Isole,DRUG,normativa sugli stupefacenti,2018,4324
Isole,DRUG,normativa sugli stupefacenti,2019,4206
Isole,ATTACK,attentati,2010,31
Isole,ATTACK,attentati,2011,26
Isole,ATTACK,attentati,2012,35
Isole,ATTACK,attentati,2013,36
Isole,ATTACK,attentati,2014,25
Isole,ATTACK,attentati,2015,29
Isole,ATTACK,attentati,2016,23
Isole,ATTACK,attentati,2017,35
Isole,ATTACK,attentati,2018,25
Isole,ATTACK,attentati,2019,24
Isole,CRIMASS,associazione per delinquere,2010,80
Isole,CRIMASS,associazione per delinquere,2011,95
Isole,CRIMASS,associazione per delinquere,2012,119
Isole,CRIMASS,associazione per delinquere,2013,118
Isole,CRIMASS,associazione per delinquere,2014,198
Isole,CRIMASS,associazione per delinquere,2015,110
Isole,CRIMASS,associazione per delinquere,2016,77
Isole,CRIMASS,associazione per delinquere,2017,92
Isole,CRIMASS,associazione per delinquere,2018,79
Isole,CRIMASS,associazione per delinquere,2019,54
Isole,MAFIASS,associazione di tipo mafioso,2010,23
Isole,MAFIASS,associazione di tipo mafioso,2011,23
Isole,MAFIASS,associazione di tipo mafioso,2012,17
Isole,MAFIASS,associazione di tipo mafioso,2013,16
Isole,MAFIASS,associazione di tipo mafioso,2014,13
Isole,MAFIASS,associazione di tipo mafioso,2015,13
Isole,MAFIASS,associazione di tipo mafioso,2016,20
Isole,MAFIASS,associazione di tipo mafioso,2017,16
Isole,MAFIASS,associazione di tipo mafioso,2018,16
Isole,MAFIASS,associazione di tipo mafioso,2019,19
Isole,SMUGGL,contrabbando,2010,34
Isole,SMUGGL,contrabbando,2011,85
Isole,SMUGGL,contrabbando,2012,160
Isole,SMUGGL,contrabbando,2013,325
Isole,SMUGGL,contrabbando,2014,247
Isole,SMUGGL,contrabbando,2015,179
Isole,SMUGGL,contrabbando,2016,38
Isole,SMUGGL,contrabbando,2017,4
Isole,SMUGGL,contrabbando,2018,3
Isole,SMUGGL,contrabbando,2019,6
Isole,OTHCRIM,altri delitti,2010,39878
Isole,OTHCRIM,altri delitti,2011,41783
Isole,OTHCRIM,altri delitti,2012,42755
Isole,OTHCRIM,altri delitti,2013,46487
Isole,OTHCRIM,altri delitti,2014,45625
Isole,OTHCRIM,altri delitti,2015,44172
Isole,OTHCRIM,altri delitti,2016,42833
Isole,OTHCRIM,altri delitti,2017,45635
Isole,OTHCRIM,altri delitti,2018,46965
Isole,OTHCRIM,altri delitti,2019,51066
Isole,TOT,totale,2010,246177
Isole,TOT,totale,2011,260096
Isole,TOT,totale,2012,267484
Isole,TOT,totale,2013,272123
Isole,TOT,totale,2014,262928
Isole,TOT,totale,2015,245690
Isole,TOT,totale,2016,223783
Isole,TOT,totale,2017,216162
Isole,TOT,totale,2018,215003
Isole,TOT,totale,2019,213763
Sicilia,MASSMURD,strage,2010,1
Sicilia,MASSMURD,strage,2011,1
Sicilia,MASSMURD,strage,2012,3
Sicilia,MASSMURD,strage,2013,1
Sicilia,MASSMURD,strage,2014,1
Sicilia,MASSMURD,strage,2015,5
Sicilia,MASSMURD,strage,2016,1
Sicilia,MASSMURD,strage,2017,7
Sicilia,MASSMURD,strage,2018,1
Sicilia,MASSMURD,strage,2019,1
Sicilia,INTENHOM,omicidi volontari consumati,2010,60
Sicilia,INTENHOM,omicidi volontari consumati,2011,59
Sicilia,INTENHOM,omicidi volontari consumati,2012,56
Sicilia,INTENHOM,omicidi volontari consumati,2013,61
Sicilia,INTENHOM,omicidi volontari consumati,2014,51
Sicilia,INTENHOM,omicidi volontari consumati,2015,52
Sicilia,INTENHOM,omicidi volontari consumati,2016,39
Sicilia,INTENHOM,omicidi volontari consumati,2017,32
Sicilia,INTENHOM,omicidi volontari consumati,2018,33
Sicilia,INTENHOM,omicidi volontari consumati,2019,32
Sicilia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2010,3
Sicilia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2011,3
Sicilia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2012,3
Sicilia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2013,5
Sicilia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2014,2
Sicilia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2015,7
Sicilia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2016,3
Sicilia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2017,0
Sicilia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2018,2
Sicilia,ROBBHOM,omicidi volontari consumati a scopo di furto o rapina,2019,1
Sicilia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2010,10
Sicilia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2011,8
Sicilia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2012,8
Sicilia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2013,5
Sicilia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2014,4
Sicilia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2015,4
Sicilia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2016,0
Sicilia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2017,3
Sicilia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2018,1
Sicilia,MAFIAHOM,omicidi volontari consumati di tipo mafioso,2019,1
Sicilia,TERRORHOM,omicidi volontari consumati a scopo terroristico,2010,0
